type,review,star,date,site,score
오뚜기 진라면,진라면 먹어본 후 이젠 신라면은 안녕~ 했어요.. 진라면이 훨 싸고 맛도 더~ 좋은데 몇~ 십년 동안 습관적으로 신라면만 먹었네요.. 그냥 어릴때 부터 쭉~ 집에서 신라면만 먹어서 독립해서도 신라면만 샀는데..어느날 우연히 이마트 라면섹션에서 신라면과 진라면 가격을 보고 1000원 이상 가격차이가 나는것을 보고 너무 큰 충격을 받았네요. 진라면 가격이 1000원 이상 신라면보다 싼게 너무나 궁금하고 또 그때가 한창 오뚜기가 어떤이유로(벌써 몇년 전이라 이유는 생각이 안 나네요) 착한회사로 재조명 될때라 오뚜기 회사를 믿고 몇십년동안 먹어오던 라면브랜드를 신라면에서 진라면으로 바꾸는 계기가 되었네요. 그러나 진라면을 집어들고도 몇번인가 들었다 놨다를 반복하고.. 카트에 넣고도.. 여기저기 계속 쇼핑을 하다가도 다시 라면섹션으로 가서 신라면으로 바꿨다가를 반복했어요. 그렇게 몇번하다가 그냥 지쳐서 걍~~돈버리는 셈치고 진라면을 내평생 처음 사보았어요. 내나이가 50대 중반을 넘었으니 얼마나 오랜 세월을 그동안~ 그냥라면가격도 보지않고 비교도 해볼 생각도 않고 충성된 고객으로 신라면만 먹어온 것입니다. 그런 우여곡절을 거쳐서 처음 진라면을 끊이는데 특이점은 오래동안 끊인것과(이젠 요령이 생겨 내눈에 덜익혀 보여도 불을 끄고 먹기 시작하면 딱 좋은 꼬들함이 유지된다) 스프에 있는 고추가루가 입자가 커서 눈에 더 얼큰해보여서 . 이젠 항상 늘 진라면만 삽니다. 진라면을 계기로 많은 변화가 생겼어요.. 이젠 그냥 습관적으로 먹던 것을 사는게 아니라 가격도 비교하고 후기도 읽고 상품을 사게 되요. 신라면에서 진라면으로 처음 한번 사는게요.. 생각해보니 가격이 겨우 천원정도 차이나는 서민음식이다보니 것 먹겠다는 생각이었던 것 같아요. 비싸다고 최고의 품질이 아닌데도~ 비싸면 뭐가 달라도 다를 것이라고 생각했었지요. 진라면은 안 먹어본 사람은 많을것이나 한번 먹어본 사람은 없을것입니다. 저같이 50평생 신라면만 먹었던 분들께 꼭 제얘길 해드리고 싶었어요. 더 ?있고 더 싼 진라면♡은 사랑입니다~~~,평점5,200501,SSG닷컴,4.0
오뚜기 진라면,"이번에 사정상 자주 라면을 먹게 되어 2박스를 구매하게 되었는데 안그래도 힘든 코로나 시국에 물가가 점점 올라가서 그나마 저렴한 라면을 더 저렴하게 맛있게 먹을 수 있는 나만의 라면 조리법을 알려줄까 합니다.
일단 기본은 물을 550ml(믹서기용기-계량컵대용) 담고 면만 넣고 집게로 뒤적거리며 풀어헤치면 1분30초 더 끓인면 1차 완성
첫번째로 비빔면을 싫어하는 사람은 없을 것입니다. 1차 완성된 면만 따로 담고 오이를 채썰고 김치 채썰고 계란지단을 채썰고(만일 힘들다면 포기) 고추장 반숟, 올리고당반숟, 식초 약간, 참기름 약간 넣고 섞는데 만일 넘 뻑뻑하다면 물을 조금 넣고 하면 걸쭉한 양념장넣고 채썰은 것들을 고명으로 올리고 가루김을 뿌리면 비빔면 완성으로 드시면 됩니다.
두번째로 시중에 파는 떡국용 떡을 물에 30분에 담가 불린후 후라이팬에 올리브유나 카날리유두른후 떡을 볶다가 고추장1숟가락과 올리고당1숟가락,물을 1컵 정도(180ml)정도 넣고 역시 1차 완성된 면만 따로 꺼내어 어묵을 넣고 끓인후 파를 채썰어 넣고 1분만 더 끓이면 라볶이 완성 맛나게 드시면 됩니다.
그럼 면만 꺼내고 남은 1차 완성된 국물의 처리는 버릴 것인가? 절대 아닙니다. 용기에 담아 냉장실에 보관(3일내 드세용)해뒀다가 오뚜기 사리면을 구매해서 기존 사용하지 않은 진라면 스프를 적극 활용하여 라면을 끓어 드시면 알뜰한 라면 조리법이 되겠습니다.",평점5,210428,키위마켓,3.3333333333333335
오뚜기 진라면,"저는 개인적으로 사명은 밝힐수 없지만 신라면을 만드는 기업에 썩 좋은 이미지는 없습니다.
신라면 제조기업과 뿌리를 같이 하고 있는 우리나라 초거대기업 중 한곳도 별로 안 좋아하고요.
그리고 진라면을 만드는 기업에는 나름 좋은 이미지가 있습니다.그래서 사먹습니다.

그런데 역시 뭐니뭐니해도 맛이 제일 중요하겠죠 소비자 입장에서는

자, 맛은 일단 인이 박힌 신라면이 아주 조금 위라고 하고 싶습니다. 맛이라는건 주관적이기 때문에 조심스럽긴 하지만 한국인이 가장 라면의 스탠다드라고 생각하는 맛은 신라면이고 튜닝의 끝은 순정이라고 할때 그 순정에 해당되는 게 아마 신라면일 겁니다. 특히 2000년대를 지나오면서 패러다임은 완전 신라면으로 굳어졌죠.

그런데 제가 어릴적이었던 90년대는 말이죠 신라면이 그렇게 부상하지 못했고 진라면이 마켓쉐어가 꽤 높았습니다.
아무래도 신라면이 좀 더 강렬하다보니 진에서 신으로 올때는 편했으나 신에서 진으로 돌아가기가 쉽지가 않네요. (진매 기준, 저는 진순이는 취급 안하기때매)

솔직히 말씀드리면 진매를 한 1년째 꾸준히 먹고있는데 엊그제 캠핑갔다가 누가 라면을 끓여줬는데 신라면이라고 하더라구요... 1년 진짜 신라면이 강력하긴 하더라구요.

이렇게 결론 없이 오픈엔딩으로 리뷰를 마치려고 합니다.",평점5,200503,SSG닷컴,3.8
오뚜기 진라면,"이번특별행사에 온라인에서 제일 저렴한 가격에다가 후레이크가 크고 풍부해서 다시 재구매하게된 플러스진라면이다. 라면끓일때 몇가지 나만의 팁있다면 1) 550ml의 물의양 맞추기-믹스기용기에 물을 담자; 용기보면 눈금표있으니 적극활용할 것 2) 소득도 없는데 3끼 라면?-만두넣고 만두라면, 김치넣고 김치라면 어묵넣고 어묵라면, 떡넣고 떡라면, 건새우넣고 새우라면, 조개넣고 조개라면, 골뱅이넣고 골뱅이라면, 참치통조림넣고 참치라면, 연어통조림넣고 연어라면, 황태넣고 황태라면, 오징어다리 썰어넣고 오징어라면, 소세지넣고 소세지라면... 넣는데 두려워말고 일단 때려 넣고 보자 맛없으면 된장이나 쌈장넣으면 살릴수 있으니 걱정마시라 단 내장같은 쓴맛나는 재료만 절대금물 3) 찬밥이 필요할 때? 라면에 찬밥인데 보온밥뿐이다? 조리전 접시에 밥을 얇게 고르게 펴담고 냉동실에 넣고 라면조리한 후 면먹고 밥말아 먹을때 냉동실에 식힌 접시담긴 찬밥을 꺼내 말아먹으면 됨 4) 쫄깃한 면발 원해? 물을 팔팔 끓이면 냉동실에 있는 얼음두덩이, 만일 없으면 약간의 찬물 넣고 면넣고 집게로 면을 들어 공기흡입하기! 면이 풀어지면 2분간 더 끓이면 쫄깃한라면 완성 5) 야식라면먹고 자고나니깐 거울속에 있는 내얼굴?(통통 부은데다 푸싹 삭힌 내얼굴) 보며 ""누구냐 넌?"" 자기전 꼭 우유 한 두잔 마시면 붓기는사라져요 나만의 팁 끝? 더 있는데 이건 비법이라서 비밀 ㅋ 그럼 맛난 라면 많이 많이 드세용!!!",평점5,210309,키위마켓,3.375
오뚜기 진라면,"매꼼하니 맛나네여 기름이 있다고 해서 걱정했는데 아니네요 담백하니 맛나요 매콤하고 청양고추 안넣어도 칼칼하니 맛났어요 면에는 기름이 조금 많아요 그래서 한번 뜨거운 물에 데쳐서 다시 끊이는 식으로 라면을 끊여요 그러니까 기름도 많이 안 뜨고 좋네요 전 대게 라면 끊여 먹었어요 평상시 신라면 먹은데 맛있다고 해서 주문했는데 확실히 비교해보면 더 깨끗한 맛이 있네여 신라면보다 몬가 느낌이 더 깨끗한 맛이예요 농심라면 좋아했는데 이건 오뚜기라면인데도 추천해요 한번 시도 해보세요 괜찮으실꺼예요
5봉지에 라면 스프와 건더기 들어있는데 건더기에 고추가 많이 둘어있어 칼칼한맛이 도네요. 스프는 신라면보다 좀 연한 국물맛이예요 몬가 오일리한 재료들이 안들어간맛이라고 해여하나 어찌보면 맛이 깊지 않다고 싫어할수도 있겠지만 웬지 더 건강한 맛이라고 할 수 있네요 맛있다고 하네요 매운거 잘 못먹는데 요 담에는 계란 하나 터트려서 먹을려구요면 삶을때 절대 오래 삶으면 안되는 면이예요 설익었다 생각되었을때 빼서 불기 전에 빨리 드세요 냄비에서. 덜어 드시는게 좀 덜 부는 방법잉네여
그럼",평점5,210104,SSG닷컴,3.4285714285714284
오뚜기 진라면,"원래 오뚜기 라면은 거의 먹지 않았었는데 세금들어서 YouTube 같은 거 보고 사람들이 맛있다고 하길래 한 번 구입해 봤어요 가끔 아주 가끔 사먹긴 했는데 이렇게 봉지로 산 건 처음이에요 일단은 매운맛을 샀는데 제 입맛에는 하나도 안 매웠구요 조금 간간하다고 해야 하나 제가 오뚜기 라면 자체를 안 좋아하는 이유가 그렇게 매콤한 맛이 안 나는데 짠맛은 강해서 싫어했거든요 다른 라면 들에 비해 스프 맛이 강하지 않지만 그렇다고 더 맛있단 뜻은 아니구요 그냥 짠맛이 강해서 별로 에요 저는 원래 싸게 먹는 편인데 물 양도 똑같이 해도 그냥 다른 라면 들에 비해서 면이랑 면이랑 같이 먹어도 그냥 짜다라는 말밖에는 생각이 안 들더라구요
그리고 요 저는 보통 라면에 이것저것 많이 넣어 먹는 사람인데 그러면 이라면 정체성이 완전히 사라지고 맛이 없더라구요는 하겠는데 앞으로는 주문하지 않을 거 같아요 가격도 세일할 때가 있기는 한데 저는 좀 별로네요
다른 분들은 맛있다고 하시니까 아무래도 라면은 개인 취향이 많이 갈리는 거 같네요",평점5,211005,SSG닷컴,3.0
오뚜기 진라면,"시중에 라면이 너무 많아서 가끔 마트에서 장볼때 시식코너가 있으면 열심히 달려가 먹어보곤 합니다만.
제 입에는 진라면 매운맛이 가장 담백하고 깜끔하면서도 뒷맛이 칼칼해서 맛있는것 같은데요.
진라면의 평가는 이상하게도 상당히 호불호가 제각각인것 같습니다.
담백하고 깔끔한 맛이 심심하다고 느껴지는지 맛이없는 라면이라고 하는 사람들이 꽤 있는것 같더군요.
뭔가 양념이 더 들어가고 고소한 기름을 추가해주고, 그런것들이 다 부담스럽고 느끼하게 생각되는 제입맛에는
. 순한.
자주 먹는것은 아니지만 늘 있어야 하는 라면이라
마음도 편안합니다. 그리고 박스를 옆으로 개봉하게 되있어서 선반에 눕혀 보관하고 꺼내기도 편리합니다.
티비에 보니 백종원씨가 딱 제마음같이 광고를 하더군요.
진라면은 진리고 어디나 잘 어울린다구요.
네 맞습니다. 진라면에 떡을 넣어도 치즈를 넣어도 대파만 듬? 썰어넣어도.
.",평점5,210301,SSG닷컴,4.2
오뚜기 진라면,"오뚜기 진라면은 정말이지 갓뚜기라 칭하게 하는 라면이라고 생각합니다. 2020 우주의 원더키디를 보며 자라온 세대로서 느끼는 바로는, 절대로 오지 않을 것만 같다고 느낀 2020년이 왔음에도 오뚜기 진라면은 이 가격이라니 놀랄 만한 가격입니다. (뿌X뿌X도 못 먹는 가격이죠? 맞나요?)

가격만 보고 맛이 없을 거란 생각을 해버린다면 오산입니다. 긴 시간동안 노옹시임을 불매하고 있는 한 가정의 엄마이자 아내인 주부로서 진라면이 쉰라면 대체가 불가능한 맛이었다면 솔직히 이렇게 완벽하게 갈아타지 않았을 거예요. 어느 날 이후로 아예 완전하게 미련을 접고 진라면만 먹고 있습니다.

뿌셔먹어도 맛있습니다. 너무 계란맛이 나거나 아무 맛도 안 나는 것이 아니라 적절히 어우러져 있고 면도 치아엔 무리가 가지 않을 정도로 바삭한 것이... 어떻게 먹든 맛있게 먹게 해주는 오뚜기 진라면!

아직 의심을 품는 분들이 계시다면 꼭 드셔 보세요! 진라면을 필두로 RtA 대신 오동통면을, ㅉ왕대신 진짜장을.. 당연하게 찾게 되실 겝니다",평점5,200212,SSG닷컴,3.0
오뚜기 진라면,"공식 설명은 100% 천연이며 천연 이산화규소가 함유되어 있습니다 피부에 진정되고 통풍이 잘 되는 보호막을 형성하여 외부 환경의 자극을 줄여줍니다.다른 미량원소와 결합하여 피부의 내수성을 증진시키고 민감도를 낮춰 피부를 매끄럽고 부드럽게 가꾸어 주며, 민감한 피부와 건강한 피부에 적합한 데일리 수딩 및 수분케어입니다.이외에도 아벤느 아쿠아수르스 미스트는 피부염, 건선, 화상 등의 증상을 완화하는데 임상적으로 사용됩니다.매일 두 번 이상 얼굴에 분사하여 항염, 가려움, 진정, 진정, 자연 대항 프리래디컬로 피부 보호 기능 및 노화 방지 기능을 강화합니다.15-20cm 거리를 두고 원을 그리듯 얼굴 전체에 분사하여 5-10초간 머무른 후 티슈로 눌러 말립니다.
칭찬할 것은 노즐입니다. 펌핑이 간편하고 물안개가 매끄럽게 형성되어 있습니다 아벤느의 노즐보다 훨씬 좋습니다!또한 민감성 피부에는 정말 효과가 있기 때문에 기본적으로 자기 전에 뿌리면 다음 날 증상이 완화되는 것을 느낄 수 있습니다.",평점5,210508,SSG닷컴,3.857142857142857
오뚜기 진라면,라면 안 먹는 중인데 누가 이거 먹길래 걔 취향이 궁금해 레시피대로 따라서 사먹어 봄. 뒷맛이 매콤한 맛. 텁텁하지 않고 개운하게 맵쌀한 맛이던데. 걔는 국물은 안 먹고 면만 먹더라. 난 면을 먹지 말아야 해서 그럴 거면 난 그냥 다시 라면 안 먹기로 함. 너무 오랜만에 먹어서 너무 조심하며 먹어서 그런지 첫봉은 뭔가 별 맛이 없게 느껴졌고 두봉부터는 본연의 자꾸 손이 가는 라면맛이 느껴졌는데 동시에 죄책감이 들어 이 번들 하나 며칠 만에 일부러 다 빨 먹어벌임 ㄷㄷ 눈 앞에 보이지말라고 해치우면서 또 다시 먹고 싶은 것 같으면 어차피 먹어봤자 내가 아는 그 맛이라고 반복세뇌 컨트롤하기로 했음. 세상 모든 라면 다 먹을 기세로 돌변하기 전에 리뷰도 독하게 써봄. 그래도 걔 맛취향을 알아낸 것 하나 건짐. 걔도 평소 라면 진짜 안 먹는다고 했는데 역시 그거 구라가 아닌 것 같네. 나도 계속 안 먹어야지.,평점5,210901,SSG닷컴,2.6666666666666665
오뚜기 진라면,"영덕 축산항 쪽에 스쿠버 다이빙 강사 2시면서 선주 님 부부에게 며칠 동안 잘 얻어 먹고 와서 미안해서 쇠고기도 사주고 어제 모레까지 얻어 먹고 진라면 선물로 그 자리에서 G 마켓에서 박스로 시키고 진산면 맛있다 그런데 오뚜기 육개장 애는 소고기가 10봉지 중 한 봉지 소고기 두 조각 들어 쓸까 말까 정말 기분 나쁘다 그러고 새로 만든 오뚜기 버섯 쪽에선 뼛조각 두 개 나옴 혓바닥 그때 찔리고 입천장에 죽 지켜서 두 개나 나왔는데 오뚜기 쇠고기죽 문경 편의점에서 3천 990원 이라하여 4,000원 보상해준다 간다 본사 고객 민원팀 과장 박 씨 미안하다고 죄송하다고 3번은 말하는데 약 못 살겠다 스타일 고개를 끄덕이자 않고 말로만 날건달 식으로 죄송합니다 그런다 정말 기분 나쁘다 그 고객이 민원팀 박씨는 오뚜기회사에 조카나 뭐가 되는 것 같다 어쩜 저렇게 없게 고개 뻣뻣이 들고 날건달 식으로 기부라쁘게 말을 하며 고객님 죄송합니다 하고 그러고 없는 말들을 막 한다 내 블로그에 오뚜기",평점5,220105,G마켓,2.2857142857142856
오뚜기 진라면,"쿠팡이나 11번가에서 항상 주문해서 물품을 받아보곤 했는데, 이번에 트레이더스를 이용해보았습니다.
화면에서 몇번째 도착하는지 실시간으로 알수 있고, 더구나 같은 지역에서 같은 지역으로 물품이 오니까 냉동식품이 언 상태에서 그대로 오니까 너무 좋습니다.가격도 경쟁력이 있으니 더 할 나위 없이 아주 좋습니다.
평일에는 트레이더스에 직접 가서 물건 사는 것도 어렵지만, 주말에는 가끔씩 가서 좋은 물건들을 사건 했었습니다. 하지만 가는 시감이랑 가서 고르는 시간 등을 거려하면 이렇게 인터넷으로 주문하는게 아주 편리하다는 것을 알게 되었습니다. 가격 차이도 별로 나질 않더군요.
여러 품목들을 주문했음에도 하나도 틀린거 없이 다 맞게 잘 와서 아주 흡족합니다. 냉동식품들은 전부 비닐 봉지에 얼음 포장된거 하나씩 넣어주셔서 잘 받았습니다.
라변도 소포장 된거 보다는 이렇게 20개짜리 집에 쟁여두고 먹으면 편하고 좋더라구요. 유통기한도 반년이나 남아 있으니 맘 편히 잘 먹겠습니다..",평점5,220316,SSG닷컴,4.5
오뚜기 진라면,"전 매운 걸 좋아해서 자주 시켜먹어요. 이번에는 파김치 국물이 남아서 같이 끓여먹었는데 맵지는 않더라고요. 그냥 맛있게 먹었어요.급한대로 김밥을 말아서 같이 먹어서 그런지 하나도 안 매워서 서운했어요. 다음에는 올곧이 라면만 먹어보려고요. 일부러 계란도 안 넣었는데... 근데 파를 썰어서 파기름 내서 먹으면 더 맛있다고 하더라고요. 면이랑 국물을 따로 요리해서 나중에 먹을때 섞어먹으면 맛난다고 하던데, 이것도 나중에 도전해보려고요. 원래의 개학날에서 학생들 개학이 늦춰지던 날부터 거의 일주일간 라면들이 품절였는데 이젠 괜찮아졌나봐요. 진라면이 인기는 정말 많은 것 같아요.전 원래 내 인생에 라면이라고는 없는데, 진라면 한번 먹고 라면의 맛을 알아버렸어요. 오늘은 겉절이 엄마 요리에 파김치국물 라면을 먹었더니, 짰던지 엄청 물을 먹고 있어요. 밤에 라면먹을때 우유랑 먹으면 안 붓는데서 전 다 먹고 후식으로 우유먹고 있어요.이래도 안 붓겠죠? 진라면은 신라면과 안성탕면의 뒤를잇는 짱짱라면이에는. 최소한 저에게는 말이죠.",평점5,200328,SSG닷컴,3.6666666666666665
오뚜기 진라면,"12월 8일 밤 11시 반에 주문했는데 다음 날인 9일 원하는 시간 지정해서 배송 받았어요.
직접가서 사와도 라면같은건 조금 깨져있기도 하는데 제가 사오는것보다 온전하게 왔어요.물건포장도 냉동식품 냉장식품 상온보관 따로 포장도 해주셨구요. 무거운건 종이봉투 맨 밑에 담아서 안정감있네요.
비닐.테이프.끈 사용 줄이려고 종이봉투에 오는것도 좋아요.
손잡이가 없어서 드는데 조금 불편하긴하지만 환경을 위해 훨씬 나은 선택이네요. 유통기한은 2020년 5월 27일까지 긴걸로 잘 왔구요.
두개 구매하니 .

제가 직접가서 구매한것처럼 좋은 상품으로 골라서 . 정말 감사합니다.
편리하고 편안해서 .

저는 이렇게 만들어먹어요.
진라면 끓여서 달걀하나 풀어서 먹어요. .

두번째로는 면 끓이다가 반쯤 익으면 물버리고 우유붓고 슬라이스치즈 한장 대파 자른거랑 스프반만 넣고 짜글짜글 졸여서 먹음 매운 스파게티같아요. 매운게 먹고싶을때 청양고추나 고춧가루 조금 더 넣어요.

라면은 역시 . .
자주 구매해서 먹고 있어요. 감사합니다. 잘 먹을게요.",평점5,191209,SSG닷컴,3.7142857142857144
오뚜기 진라면,"다른라면브랜드를애용하던사람이라브랜드자체를바꿀일이없었던차에유럽여행을갔는데,그곳조그만마트에서팔고있던진라면반갑기도하고길어진여행에서한국음식이간절해지던차에진라면을접하게되었습니다.
그날진라면이내인생라면이된날이었답니다.
평생라면을먹기는했어도자주먹진않았던나이많은아줌마인데,맛도맛이지만건강한라면으로먹고싶어서한번뜨거운물에데쳐낸다거나,야채를듬뿍넣어서야채육수에서나오는그맛을더하면어느훌륭한요리못지않답니다.
단백질추가하는날에는계란도추가하고,양파,파,부추있는대로때려넣고만들어먹고있답니다.
그후에오뚜기사장님이나오는프로그램을보고,인격적으로좋으신분같아서더더응원하는오뚜기브랜드입니다.근데제인생라면인줄알았던진라면을대적하는라면이나왔는데맵찔이인제가먹어도너무맵진않은열라면을만나게된겁니다,ㅋㅋ
그이후박스로라면을사고있답니다.
열라면에청량고추쫑쫑썰어추가하면우리아들이좋아하는매운라면이완성된답니다.
세계적으로뻣어나가서더더성장하는라면브랜드되길바랍니다.
항상감사드리고배송도빠르고,한끼식사로도훌륭한라면을만나게되에감사하고있습니다.
언제나좋아하는라면은열라면,진라면이될거같아요~~~",평점5,220520,SSG닷컴,4.428571428571429
오뚜기 진라면,"오뚜기 매운 맛은 신라면에 좀 뒤쳐지는 느낌이지만
매운 맛을 자주 먹지 안해서
매운 맛 역시 오뚜기로,
물론 맛이 중요하겠지만서도
오뚜기 기업 이념이 좋잖아요 몇년째 가격도 안 올리고...
될수있으면 고객의 입장을 조금이라도 생각해주는 그런 기업,
가족을 보면 그 사람을 안다고
그래서 부잣집 그 딸아이도 소탈하고 꾸밈이 없게 느껴지고
아니 대기업 자녀 같지 않게 모든 이들과 거절하지 않고 꺼리낌 없이
커무니케이션을 하는 걸 보면 참 대단한 가족이란 걸 새삼 느낍니다
문제인 정부 들어서서 대기업만 초대하는 경제인들 모임에도
오뚜기는 참석 할 정도니까요
어쩌면 사회적 기업이라고 하면 좀 지나친 얘기 겠지만
오뚜기 식품을 항상 애용하는 편입니다
막말로 오뚜기 제품 가격 안 올리는 것 만해도 어딥니까

혹 자들은 그렇다고 리플을 달수도 있겠지만...",평점5,210128,SSG닷컴,3.0
